model,condition,temperature,total_runs,parsed,parse_rate,correct,accuracy,errors,avg_latency_ms,avg_confidence,total_tokens
llama-3.1-8b-instruct,oracle,0.0,240,240,1.0,225,0.9375,0,1606.9,0.9087,445461
llama-3.1-8b-instruct,no_memory,0.0,240,240,1.0,0,0.0,0,1566.6,0.9087,72864
llama-3.1-8b-instruct,clean_memory,0.0,240,240,1.0,225,0.9375,0,1652.1,0.9075,444540
llama-3.1-8b-instruct,clean_interference,0.0,240,240,1.0,222,0.925,0,1550.1,0.8912,1080831
llama-3.1-8b-instruct,all_memory,0.0,240,240,1.0,222,0.925,0,1577.1,0.8875,1189107
llama-3.1-8b-instruct,oracle,0.3,240,240,1.0,228,0.95,0,1581.1,0.9025,445767
llama-3.1-8b-instruct,no_memory,0.3,240,240,1.0,0,0.0,0,1716.2,0.9175,72570
llama-3.1-8b-instruct,clean_memory,0.3,240,240,1.0,225,0.9375,0,1510.5,0.9,445524
llama-3.1-8b-instruct,clean_interference,0.3,240,240,1.0,216,0.9,0,1777.0,0.8837,1080831
llama-3.1-8b-instruct,all_memory,0.3,240,240,1.0,222,0.925,0,1783.8,0.8837,1190709
llama-3.1-8b-instruct,oracle,0.7,240,240,1.0,222,0.925,0,1591.8,0.895,447369
llama-3.1-8b-instruct,no_memory,0.7,240,240,1.0,0,0.0,0,1653.7,0.92,72966
llama-3.1-8b-instruct,clean_memory,0.7,240,240,1.0,222,0.925,0,1622.5,0.9019,445542
llama-3.1-8b-instruct,clean_interference,0.7,240,240,1.0,222,0.925,0,1593.2,0.8812,1081179
llama-3.1-8b-instruct,all_memory,0.7,240,240,1.0,219,0.9125,0,1743.5,0.8806,1190052
grok-3-mini,oracle,0.0,160,160,1.0,148,0.925,0,3500.3,0.8925,375536
grok-3-mini,no_memory,0.0,160,160,1.0,0,0.0,0,4845.1,0.7369,157580
grok-3-mini,clean_memory,0.0,160,160,1.0,146,0.9125,0,3453.5,0.8856,376104
grok-3-mini,clean_interference,0.0,160,160,1.0,144,0.9,0,3738.1,0.8769,801206
grok-3-mini,all_memory,0.0,160,160,1.0,146,0.9125,0,3881.3,0.8831,872738
grok-3-mini,oracle,0.3,160,160,1.0,146,0.9125,0,3643.9,0.8881,376780
grok-3-mini,no_memory,0.3,160,160,1.0,0,0.0,0,5162.2,0.6994,158368
grok-3-mini,clean_memory,0.3,160,160,1.0,148,0.925,0,3466.9,0.8906,374996
grok-3-mini,clean_interference,0.3,160,160,1.0,146,0.9125,0,3887.7,0.885,801236
grok-3-mini,all_memory,0.3,160,160,1.0,148,0.925,0,3890.4,0.8825,876232
grok-3-mini,oracle,0.7,160,160,1.0,148,0.925,0,3448.4,0.89,375856
grok-3-mini,no_memory,0.7,160,160,1.0,0,0.0,0,4723.2,0.7444,155698
grok-3-mini,clean_memory,0.7,160,160,1.0,150,0.9375,0,3489.7,0.8925,374704
grok-3-mini,clean_interference,0.7,160,160,1.0,144,0.9,0,3783.0,0.8881,801904
grok-3-mini,all_memory,0.7,160,160,1.0,144,0.9,0,3603.2,0.8806,871882
gpt-4o-mini,oracle,0.0,80,80,1.0,73,0.9125,0,1741.6,0.8988,147235
gpt-4o-mini,no_memory,0.0,80,80,1.0,0,0.0,0,1563.7,0.8975,21999
gpt-4o-mini,clean_memory,0.0,80,80,1.0,73,0.9125,0,1581.9,0.8975,147173
gpt-4o-mini,clean_interference,0.0,80,80,1.0,73,0.9125,0,1581.4,0.8938,359039
gpt-4o-mini,all_memory,0.0,80,80,1.0,73,0.9125,0,1843.8,0.8938,395513
gpt-4o-mini,oracle,0.3,80,80,1.0,73,0.9125,0,1751.5,0.8975,147197
gpt-4o-mini,no_memory,0.3,80,80,1.0,0,0.0,0,1657.5,0.8988,22015
gpt-4o-mini,clean_memory,0.3,80,80,1.0,73,0.9125,0,2456.9,0.9013,147195
gpt-4o-mini,clean_interference,0.3,80,80,1.0,73,0.9125,0,1911.0,0.8988,358998
gpt-4o-mini,all_memory,0.3,80,80,1.0,73,0.9125,0,1473.8,0.8975,395552
gpt-4o-mini,oracle,0.7,80,80,1.0,73,0.9125,0,1449.6,0.9,147235
gpt-4o-mini,no_memory,0.7,80,80,1.0,0,0.0,0,1465.4,0.8962,22190
gpt-4o-mini,clean_memory,0.7,80,80,1.0,73,0.9125,0,1440.8,0.9037,147155
gpt-4o-mini,clean_interference,0.7,80,80,1.0,73,0.9125,0,1643.4,0.8938,358965
gpt-4o-mini,all_memory,0.7,80,80,1.0,73,0.9125,0,1665.0,0.8975,395648
