model,condition,temperature,total_runs,parsed,parse_rate,correct,accuracy,errors,avg_latency_ms,avg_confidence,total_tokens
llama-3.1-8b-instruct,clean_memory,0.0,164,164,1.0,112,0.6829,0,2018.4,0.878,307696
llama-3.1-8b-instruct,clean_interference,0.0,164,164,1.0,120,0.7317,0,2316.2,0.8707,740988
llama-3.1-8b-instruct,all_memory,0.0,164,164,1.0,112,0.6829,0,2192.7,0.8683,817364
llama-3.1-8b-instruct,clean_memory,0.3,164,164,1.0,116,0.7073,0,1690.2,0.878,307612
llama-3.1-8b-instruct,clean_interference,0.3,164,164,1.0,120,0.7317,0,1808.7,0.8634,741104
llama-3.1-8b-instruct,all_memory,0.3,164,164,1.0,116,0.7073,0,2247.0,0.8707,817360
llama-3.1-8b-instruct,clean_memory,0.7,164,164,1.0,108,0.6585,0,1805.8,0.8732,308532
llama-3.1-8b-instruct,clean_interference,0.7,164,164,1.0,112,0.6829,0,1811.8,0.872,741260
llama-3.1-8b-instruct,all_memory,0.7,164,164,1.0,112,0.6829,0,2530.4,0.8524,814888
grok-3-mini,clean_memory,0.0,123,123,1.0,84,0.6829,0,3700.0,0.8512,288702
grok-3-mini,clean_interference,0.0,123,123,1.0,87,0.7073,0,3917.4,0.8561,615117
grok-3-mini,all_memory,0.0,123,123,1.0,87,0.7073,0,3791.3,0.861,669240
grok-3-mini,clean_memory,0.3,123,123,1.0,84,0.6829,0,3669.0,0.8463,290088
grok-3-mini,clean_interference,0.3,123,123,1.0,84,0.6829,0,3495.8,0.8537,612183
grok-3-mini,all_memory,0.3,123,123,1.0,87,0.7073,0,3790.0,0.8549,670239
grok-3-mini,clean_memory,0.7,123,123,1.0,84,0.6829,0,3576.6,0.85,287643
grok-3-mini,clean_interference,0.7,123,123,1.0,90,0.7317,0,3672.1,0.8561,613044
grok-3-mini,all_memory,0.7,123,123,1.0,87,0.7073,0,3746.6,0.8463,670116
gpt-4o-mini,clean_memory,0.0,82,82,1.0,56,0.6829,0,1665.3,0.8902,150550
gpt-4o-mini,clean_interference,0.0,82,82,1.0,64,0.7805,0,1857.3,0.8878,367764
gpt-4o-mini,all_memory,0.0,82,82,1.0,60,0.7317,0,1620.7,0.8902,405126
gpt-4o-mini,clean_memory,0.3,82,82,1.0,58,0.7073,0,1506.4,0.8854,150620
gpt-4o-mini,clean_interference,0.3,82,82,1.0,64,0.7805,0,1554.3,0.8927,367688
gpt-4o-mini,all_memory,0.3,82,82,1.0,60,0.7317,0,1558.7,0.8902,405076
gpt-4o-mini,clean_memory,0.7,82,82,1.0,58,0.7073,0,1593.4,0.8878,150514
gpt-4o-mini,clean_interference,0.7,82,82,1.0,62,0.7561,0,1901.8,0.8878,367542
gpt-4o-mini,all_memory,0.7,82,82,1.0,60,0.7317,0,1693.6,0.8878,405028
claude-haiku-4.5,clean_memory,0.0,41,41,1.0,28,0.6829,0,3266.6,0.85,85705
claude-haiku-4.5,clean_interference,0.0,41,41,1.0,31,0.7561,0,3696.2,0.8705,203215
claude-haiku-4.5,all_memory,0.0,41,41,1.0,29,0.7073,0,3781.2,0.869,224442
claude-haiku-4.5,clean_memory,0.3,41,41,1.0,28,0.6829,0,3230.8,0.8488,85649
claude-haiku-4.5,clean_interference,0.3,41,41,1.0,31,0.7561,0,3740.4,0.8663,202933
claude-haiku-4.5,all_memory,0.3,41,41,1.0,29,0.7073,0,3755.9,0.8707,224285
claude-haiku-4.5,clean_memory,0.7,41,41,1.0,28,0.6829,0,3215.1,0.859,85763
claude-haiku-4.5,clean_interference,0.7,41,41,1.0,30,0.7317,0,3598.0,0.8698,202885
claude-haiku-4.5,all_memory,0.7,41,41,1.0,29,0.7073,0,3804.9,0.8759,224209
